Model,MAE,MSE,RMSE,R2 Score
Linear Regression,1.0155490830845972,4.399275539170953,2.097445002657031,0.6887688020307758
Decision Tree,1.7337367624810893,10.892586989409985,3.3003919448165524,0.22939291537603368
Random Forest,1.1251664145234495,4.838138350983359,2.1995768572576315,0.6577210084910564
